Vehicle_Name,Name,Price,StockType,Distance_from_30332,Dealership,Year,Make,Model
2018 Toyota RAV4,2018 Toyota RAV4 LE,28995,Used,9,Ed Voyles Hyundai,2018,Toyota,RAV4
2018 Toyota RAV4,2018 Toyota RAV4 LE,24269,Used,12,EchoPark Automotive Atlanta (Marietta),2018,Toyota,RAV4
2018 Toyota RAV4,2018 Toyota RAV4 LE,25961,Used,17,Heritage Volkswagen,2018,Toyota,RAV4
2014 Toyota Sequoia,2014 Toyota Sequoia Limited,38590,Used,104,Carvana-Touchless Delivery To Your Home,2014,Toyota,Sequoia
2018 Toyota RAV4,2018 Toyota RAV4 LE,24980,Used,21,Atlanta Toyota,2018,Toyota,RAV4
2019 Toyota Highlander,2019 Toyota Highlander LE,32785,Used,130,Serra Trussville Kia,2019,Toyota,Highlander
2021 Toyota Sienna,2021 Toyota Sienna ,55000,Used,94,Five Star Nissan,2021,Toyota,Sienna
2018 Toyota RAV4,2018 Toyota RAV4 LE,24999,Used,17,BMW of South Atlanta,2018,Toyota,RAV4
2015 Toyota Tundra,2015 Toyota Tundra SR5,37553,Used,161,Fred Anderson Toyota of Asheville,2015,Toyota,Tundra
2020 Toyota Avalon,2020 Toyota Avalon XLE,35847,Used,188,Toyota of Murfreesboro,2020,Toyota,Avalon
2020 Toyota 4Runner,2020 Toyota 4Runner Limited,46775,Used,135,Jim Hudson Acura,2020,Toyota,4Runner
2020 Toyota Tundra,2020 Toyota Tundra Limited,52286,Used,135,Jim Hudson Acura,2020,Toyota,Tundra
2019 Toyota Avalon,2019 Toyota Avalon Limited,39963,Used,135,Jim Hudson Acura,2019,Toyota,Avalon
2021 Toyota Corolla,2021 Toyota Corolla SE,24992,Toyota Certified,139,Toyota of Greenville,2021,Toyota,Corolla
2018 Toyota Camry,2018 Toyota Camry SE,25317,Used,135,Jim Hudson Acura,2018,Toyota,Camry
2021 Toyota Corolla,2021 Toyota Corolla SE,25492,Toyota Certified,139,Toyota of Greenville,2021,Toyota,Corolla
2021 Toyota Supra,2021 Toyota Supra 3.0,62882,Toyota Certified,35,Beaver Toyota Cumming,2021,Toyota,Supra
2020 Toyota Corolla,2020 Toyota Corolla LE,21952,Used,18,Stone Mountain Toyota,2020,Toyota,Corolla
2019 Toyota Highlander,2019 Toyota Highlander LE,33289,Used,132,EchoPark Automotive Birmingham,2019,Toyota,Highlander
2021 Toyota Corolla,2021 Toyota Corolla SE,25857,Used,138,McKinnon Nissan,2021,Toyota,Corolla
2021 Toyota Corolla,2021 Toyota Corolla Hatchback XSE,27182,Used,58,Phil Hughes Honda,2021,Toyota,Corolla
2019 Toyota Highlander,2019 Toyota Highlander SE,40986,Used,135,Jim Hudson Acura,2019,Toyota,Highlander
2019 Toyota 4Runner,2019 Toyota 4Runner Limited,49498,Used,135,Jim Hudson Acura,2019,Toyota,4Runner
2019 Toyota Tundra,2019 Toyota Tundra SR5,46389,Used,150,EchoPark Automotive Knoxville Delivery Center,2019,Toyota,Tundra
