Vehicle_Name,Rating
1997 Toyota 4Runner,4.598484848
1997 Toyota Avalon,4.550531915
1997 Toyota Camry,4.557142857
1997 Toyota Celica,4.774193548
1997 Toyota Corolla,4.46875
1997 Toyota Land,4.69140625
1997 Toyota Paseo,4.5625
1997 Toyota Previa,4.921875
1997 Toyota RAV4,4.352272727
1997 Toyota Supra,4.902777778
1997 Toyota T100,4.642857143
1997 Toyota Tacoma,4.4375
1997 Toyota Tercel,4.456896552
1998 Toyota 4Runner,4.518442623
1998 Toyota Avalon,4.473958333
1998 Toyota Camry,4.451785714
1998 Toyota Celica,4.910714286
1998 Toyota Corolla,4.245614035
1998 Toyota Land,4.541666667
1998 Toyota RAV4,4.511363636
1998 Toyota Sienna,4.401315789
1998 Toyota Supra,4.8203125
1998 Toyota T100,4.794117647
1998 Toyota Tacoma,4.566860465
1998 Toyota Tercel,4.486111111
1999 Toyota 4Runner,4.650735294
1999 Toyota Avalon,4.594594595
1999 Toyota Camry,4.503731343
1999 Toyota Celica,4.705357143
1999 Toyota Corolla,4.447033898
1999 Toyota Land,4.575
1999 Toyota RAV4,4.51953125
1999 Toyota Sienna,4.295212766
1999 Toyota Tacoma,4.643145161
2000 Toyota 4Runner,4.573076923
2000 Toyota Avalon,4.629032258
2000 Toyota Camry,4.637218045
2000 Toyota Celica,4.734375
2000 Toyota Corolla,4.161931818
2000 Toyota ECHO,4.637152778
2000 Toyota Land,4.707142857
2000 Toyota MR2,4.635416667
2000 Toyota RAV4,4.578125
2000 Toyota Sienna,4.4375
2000 Toyota Tacoma,4.316964286
2000 Toyota Tundra,4.373106061
2001 Toyota 4Runner,4.642045455
2001 Toyota Avalon,4.647321429
2001 Toyota Camry,4.665509259
2001 Toyota Celica,4.451612903
2001 Toyota Corolla,4.251893939
2001 Toyota ECHO,4.634831461
2001 Toyota Highlander,4.430555556
2001 Toyota Land,4.573529412
2001 Toyota MR2,4.566860465
2001 Toyota Prius,4.490196078
2001 Toyota RAV4,4.475
2001 Toyota Sequoia,4.388888889
2001 Toyota Sienna,4.25
2001 Toyota Tacoma,4.504807692
2001 Toyota Tundra,4.459016393
2002 Toyota 4Runner,4.462301587
2002 Toyota Avalon,4.733796296
2002 Toyota Camry,4.479310345
2002 Toyota Celica,4.831818182
2002 Toyota Corolla,4.160714286
2002 Toyota ECHO,4.721590909
2002 Toyota Highlander,4.516791045
2002 Toyota Land,4.721153846
2002 Toyota MR2,4.752083333
2002 Toyota Prius,4.642045455
2002 Toyota RAV4,4.049242424
2002 Toyota Sequoia,4.347222222
2002 Toyota Sienna,4.252192982
2002 Toyota Tacoma,4.531746032
2002 Toyota Tundra,4.454861111
2003 Toyota 4Runner,4.558928571
2003 Toyota Avalon,4.726293103
2003 Toyota Camry,4.48759542
2003 Toyota Celica,4.612745098
2003 Toyota Corolla,4.330357143
2003 Toyota ECHO,4.579391892
2003 Toyota Highlander,4.492537313
2003 Toyota Land,4.579861111
2003 Toyota MR2,4.789215686
2003 Toyota Matrix,4.239285714
2003 Toyota Prius,4.804545455
2003 Toyota RAV4,4.407786885
2003 Toyota Sequoia,4.175373134
2003 Toyota Sienna,4.6125
2003 Toyota Tacoma,4.413888889
2003 Toyota Tundra,4.587328767
2004 Toyota 4Runner,4.553571429
2004 Toyota Avalon,4.53125
2004 Toyota Camry,4.438904494
2004 Toyota Celica,4.819711538
2004 Toyota Corolla,4.451785714
2004 Toyota ECHO,4.564102564
2004 Toyota Highlander,4.568014706
2004 Toyota Land,4.658333333
2004 Toyota MR2,4.828703704
2004 Toyota Matrix,4.594230769
2004 Toyota Prius,4.730357143
2004 Toyota RAV4,4.702083333
2004 Toyota Sequoia,4.391393443
2004 Toyota Sienna,4.1
2004 Toyota Tacoma,4.452678571
2004 Toyota Tundra,4.598
2005 Toyota 4Runner,4.557142857
2005 Toyota Avalon,4.607142857
2005 Toyota Camry,4.523521505
2005 Toyota Celica,4.761363636
2005 Toyota Corolla,4.348214286
2005 Toyota ECHO,4.7
2005 Toyota Highlander,4.303571429
2005 Toyota Land,4.625
2005 Toyota MR2,4.754032258
2005 Toyota Matrix,4.316071429
2005 Toyota Prius,4.642857143
2005 Toyota RAV4,4.675
2005 Toyota Sequoia,4.344642857
2005 Toyota Sienna,4.098214286
2005 Toyota Tacoma,4.647590361
2005 Toyota Tundra,4.612394958
2006 Toyota 4Runner,4.648214286
2006 Toyota Avalon,4.521428571
2006 Toyota Camry,4.651699029
2006 Toyota Corolla,4.164285714
2006 Toyota Highlander,4.499107143
2006 Toyota Land,4.53125
2006 Toyota Matrix,4.632142857
2006 Toyota Prius,4.6875
2006 Toyota RAV4,3.898214286
2006 Toyota Sequoia,4.690217391
2006 Toyota Sienna,3.932142857
2006 Toyota Tacoma,4.495535714
2006 Toyota Tundra,4.473140496
2007 Toyota 4Runner,4.567857143
2007 Toyota Avalon,4.373214286
2007 Toyota Camry,4.328358209
2007 Toyota Corolla,4.067857143
2007 Toyota FJ,4.592857143
2007 Toyota Highlander,4.387971698
2007 Toyota Land,4.025
2007 Toyota Matrix,4.505597015
2007 Toyota Prius,4.157142857
2007 Toyota RAV4,3.901785714
2007 Toyota Sequoia,4.635
2007 Toyota Sienna,4.183928571
2007 Toyota Tacoma,4.512218045
2007 Toyota Tundra,4.467391304
2007 Toyota Yaris,4.551785714
2008 Toyota 4Runner,4.7
2008 Toyota Avalon,4.280357143
2008 Toyota Camry,4.367724868
2008 Toyota Corolla,4.392857143
2008 Toyota FJ,4.508928571
2008 Toyota Highlander,4.322321429
2008 Toyota Land,4.526785714
2008 Toyota Matrix,4.451388889
2008 Toyota Prius,4.532142857
2008 Toyota RAV4,4.1625
2008 Toyota Sequoia,4.569642857
2008 Toyota Sienna,4.3
2008 Toyota Tacoma,4.396590909
2008 Toyota Tundra,4.476398601
2008 Toyota Yaris,4.675
2009 Toyota 4Runner,4.357142857
2009 Toyota Avalon,4.424242424
2009 Toyota Camry,4.166964286
2009 Toyota Corolla,3.980357143
2009 Toyota FJ,4.625
2009 Toyota Highlander,4.544642857
2009 Toyota Land,4.55
2009 Toyota Matrix,4.164285714
2009 Toyota Prius,4.390384615
2009 Toyota RAV4,4.285714286
2009 Toyota Sienna,4.428571429
2009 Toyota Tacoma,4.048664122
2009 Toyota Tundra,4.779411765
2009 Toyota Venza,4.275
2009 Toyota Yaris,4.59811828
2010 Toyota 4Runner,4.264285714
2010 Toyota Avalon,4.789473684
2010 Toyota Camry,4.239361702
2010 Toyota Corolla,3.801785714
2010 Toyota FJ,4.796875
2010 Toyota Highlander,4.625
2010 Toyota Land,4.96875
2010 Toyota Matrix,4.142857143
2010 Toyota Prius,4.423214286
2010 Toyota RAV4,4.221428571
2010 Toyota Sequoia,4.471774194
2010 Toyota Sienna,4.332386364
2010 Toyota Tacoma,4.328947368
